takeoff_angle,azimuth,strike,dip,rake,poissons_ratio,opening_angle,Gp,Gs,Gsh,Gsv
1.737e+02,8.933e+01,3.134e+01,1.349e+01,-6.494e+01,2.500e-01,5.754e+01,2.383e+00,7.164e-01,2.564e-01,-6.689e-01
2.837e+01,-1.781e+01,-1.052e+02,5.936e+01,1.111e+01,2.500e-01,4.902e+01,7.664e-01,1.743e-01,1.907e-02,-1.733e-01
1.747e+02,-1.498e+02,-7.155e+01,4.667e+01,5.560e+01,2.500e-01,5.826e+01,1.927e+00,9.475e-01,3.489e-01,8.809e-01
1.723e+02,-9.757e+01,-1.047e+01,8.757e+01,-3.326e+01,2.500e-01,4.895e+01,8.320e-01,4.909e-01,-7.536e-02,-4.851e-01
8.737e+01,1.488e+02,-9.702e+01,5.841e+01,1.152e+02,2.500e-01,6.489e+01,1.678e+00,9.880e-01,4.871e-01,-8.596e-01
1.441e+02,-1.251e+02,1.240e+02,7.203e+01,7.861e+01,2.500e-01,4.702e+01,2.178e+00,6.632e-01,-5.501e-01,-3.703e-01
2.554e+01,1.173e+02,-1.099e+02,4.084e+01,1.687e+02,2.500e-01,8.943e+01,2.578e+00,8.159e-01,7.951e-01,1.828e-01
7.592e+01,1.380e+01,-9.867e+01,3.892e+01,1.128e+01,2.500e-01,1.968e+01,5.794e-02,3.274e-01,-2.390e-01,-2.237e-01
1.648e+02,1.786e+02,-1.185e+02,7.428e+01,-6.295e+01,2.500e-01,9.522e+00,1.047e-01,8.040e-01,-3.348e-01,-7.310e-01
1.426e+02,-1.519e+02,-9.804e+01,7.512e+00,-1.420e+02,2.500e-01,9.873e+00,-5.698e-01,3.306e-01,-2.261e-01,2.412e-01
1.727e+02,-2.064e+01,-2.315e+01,1.199e+01,3.995e+01,2.500e-01,5.723e+00,7.248e-01,8.478e-01,-5.521e-01,-6.434e-01
1.180e+02,-1.416e+02,-6.800e+01,1.560e+01,1.004e+02,2.500e-01,3.641e+01,9.728e-01,9.180e-01,-5.488e-03,9.180e-01
6.428e+00,1.663e+02,1.524e+02,3.518e+01,-2.756e+01,2.500e-01,4.035e+01,1.019e+00,8.897e-01,-5.127e-01,-7.271e-01
1.528e+02,-1.783e+02,-2.513e+01,7.482e+01,-1.473e+02,2.500e-01,3.292e+01,5.361e-01,9.294e-02,6.180e-02,-6.941e-02
1.681e+02,9.897e+01,-1.135e+02,7.230e+01,-8.407e+01,2.500e-01,6.872e+01,8.641e-01,1.722e-02,-1.643e-02,5.152e-03
1.222e+02,1.142e+02,1.458e+02,5.442e+00,-1.247e+02,2.500e-01,5.651e+01,7.927e-01,4.515e-01,1.373e-01,4.301e-01
1.364e+02,1.327e+02,1.727e+02,3.593e+01,-7.884e+01,2.500e-01,6.948e+01,9.834e-01,3.915e-01,2.535e-01,2.984e-01
1.338e+02,-1.496e+02,-2.201e+01,4.742e+01,-2.157e+01,2.500e-01,8.396e+01,9.915e-01,1.552e-02,-3.870e-03,1.503e-02
7.060e+01,-3.608e+01,-1.400e+02,3.751e+01,9.771e+00,2.500e-01,8.755e+01,1.162e+00,5.475e-01,-9.530e-02,5.392e-01
1.180e+02,-8.645e+01,-8.710e+01,5.912e+01,-1.533e+01,2.500e-01,1.728e+01,6.897e-01,8.025e-01,7.686e-01,2.307e-01
3.081e+01,1.080e+02,-3.286e+01,5.652e+01,1.351e+02,2.500e-01,1.250e+01,3.738e-01,4.466e-01,1.286e-01,-4.277e-01
1.271e+02,-2.469e+01,3.416e+01,2.628e+01,6.499e+00,2.500e-01,6.266e+01,1.101e+00,6.318e-01,2.380e-01,5.853e-01
5.730e+00,1.478e+02,-8.560e+01,3.885e+01,1.597e+02,2.500e-01,8.444e+00,5.738e-01,7.926e-01,6.255e-01,-4.869e-01
4.985e+01,-1.145e+02,3.702e+01,1.394e+00,4.958e+01,2.500e-01,4.729e+01,1.514e+00,8.648e-01,-4.105e-01,-7.611e-01
8.311e+00,-8.503e+01,7.604e+01,8.857e+01,1.648e+02,2.500e-01,4.773e+01,7.599e-01,1.968e-01,1.962e-01,1.543e-02
1.748e+01,-1.276e+02,-1.002e+02,1.505e+01,-9.335e+01,2.500e-01,7.750e+01,2.724e+00,6.335e-01,-5.973e-01,-2.112e-01
1.482e+02,-1.310e+02,-1.377e+02,9.559e+00,6.340e+01,2.500e-01,4.364e+01,2.060e+00,6.638e-01,-3.402e-01,5.700e-01
1.251e+02,1.329e+02,-7.320e+01,3.352e+01,-7.594e+01,2.500e-01,3.541e+01,3.153e-01,2.796e-01,1.229e-02,-2.793e-01
5.708e+01,2.869e+01,-6.524e+01,1.783e+01,6.185e+01,2.500e-01,6.043e+01,1.214e+00,8.272e-01,7.182e-02,-8.240e-01
1.710e+02,1.795e+01,-2.730e+01,4.407e+01,7.025e+01,2.500e-01,6.671e+01,2.434e+00,8.013e-01,6.029e-01,-5.278e-01
